PPG (Pulse)	Respiration (SS5LB)
-0.716919	-4.02222
-0.738831	-4.0152
-0.760376	-4.00848
-0.781189	-4.00177
-0.800598	-3.99506
-0.818237	-3.98804
-0.835266	-3.98102
-0.851501	-3.974
-0.867126	-3.96698
-0.881165	-3.95996
-0.892395	-3.95325
-0.899963	-3.94653
-0.904358	-3.93951
-0.906433	-3.9328
-0.907959	-3.92578
-0.909363	-3.91876
-0.910645	-3.91174
-0.911682	-3.90533
-0.912476	-3.89862
-0.912109	-3.89221
-0.910156	-3.88519
-0.905823	-3.87848
-0.89978	-3.87146
-0.8927	-3.86414
-0.884766	-3.85712
-0.876709	-3.8504
-0.86969	-3.84369
-0.863403	-3.83698
-0.856873	-3.83057
-0.848877	-3.82416
-0.840515	-3.81775
-0.832886	-3.81134
-0.825745	-3.80463
-0.817932	-3.79791
-0.809448	-3.7912
-0.801331	-3.78448
-0.794128	-3.77777
-0.78717	-3.77075
-0.779663	-3.76434
-0.770752	-3.75793
-0.761597	-3.75183
-0.753235	-3.74542
-0.747192	-3.73901
-0.743225	-3.73291
-0.739929	-3.7265
-0.73584	-3.72009
-0.730225	-3.71338
-0.722778	-3.70697
-0.714294	-3.70056
-0.707397	-3.69415
-0.706787	-3.68744
-0.713806	-3.68103
-0.725464	-3.67462
-0.735413	-3.66821
-0.740112	-3.6618
-0.739746	-3.65509
-0.735901	-3.64868
-0.728271	-3.64258
-0.714905	-3.63647
-0.690857	-3.63037
-0.649414	-3.62427
-0.584229	-3.61786
-0.491455	-3.61145
-0.370422	-3.60504
-0.222656	-3.59863
-0.052002	-3.59222
0.134094	-3.58582
0.326599	-3.58002
0.516052	-3.57422
0.695984	-3.56812
0.862305	-3.56232
1.01337	-3.55621
1.14795	-3.55011
1.26556	-3.54401
1.36639	-3.5379
1.45239	-3.53149
1.52563	-3.52509
1.5885	-3.51898
1.64056	-3.51288
1.68121	-3.50677
1.70917	-3.50037
1.7243	-3.49426
1.72742	-3.48816
1.72028	-3.48206
1.70392	-3.47595
1.67902	-3.46985
1.64594	-3.46375
1.60571	-3.45795
1.55975	-3.45215
1.50867	-3.44635
1.45166	-3.44086
1.38861	-3.43475
1.3208	-3.42834
1.25122	-3.42194
1.18109	-3.41583
1.11017	-3.41003
1.03674	-3.40424
0.960083	-3.39813
0.880066	-3.39233
0.798096	-3.38654
0.716064	-3.38074
0.635742	-3.37524
0.556885	-3.36945
0.478638	-3.36334
0.400635	-3.35724
0.323792	-3.35144
0.247864	-3.34595
0.1745	-3.34015
0.104919	-3.33435
0.0410767	-3.32886
-0.0180054	-3.32306
-0.0744629	-3.31757
-0.128967	-3.31207
-0.179443	-3.30597
-0.22406	-3.30017
-0.26123	-3.29437
-0.291504	-3.28888
-0.316162	-3.28339
-0.33667	-3.27789
-0.3526	-3.27209
-0.362061	-3.2663
-0.363953	-3.26019
-0.359558	-3.25439
-0.35083	-3.2489
-0.339172	-3.24371
-0.324402	-3.23853
-0.306458	-3.23303
-0.285767	-3.22754
-0.263184	-3.22174
-0.239929	-3.21625
-0.216492	-3.21045
-0.190918	-3.20465
-0.165344	-3.19885
-0.142273	-3.19336
-0.125671	-3.18756
-0.115723	-3.18176
-0.109985	-3.17627
-0.106262	-3.17047
-0.104614	-3.16528
